RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_BEGIN_DE,TOUR_PD_VALUE,TOUR_COM_NMPR_NM,COM_ONE_TY,COM_TWO_TY,COM_THREE_TY,COM_FOUR_TY,COM_FIVE_TY,COM_SIX_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
"12947","20250331","서울시","모름","20250319","1박 2일","2명","배우자",,,,,,"쇼핑","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","700만원 이상"
"193334","20250331","강원도","원주시","20241230","2박 3일","모름","배우자","부모/형제/자녀 등 가족",,,,,"자연 풍경 감상 (산/ 바다 등)","M","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","300~500만원 미만"
"220110","20250331","제주도","구체적인 지역 모름","20250303","2박 3일","3명","부모/형제/자녀 등 가족",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 독립(막내 결혼)","전업주부","700만원 이상"
"221995","20250331","전라남도","담양군","20250221","2박 3일","5명 이상","친구",,,,,,"휴식","F","20대","미혼","미혼","사무/기술직","모름"
"227323","20250331","인천시","모름","20241229","2박 3일","4명","친구",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","60대 이상","기혼","자녀 독립(막내 결혼)","기타/무직","300~500만원 미만"
"252296","20250331","전라북도","전주시","20250321","1박 2일","3명","부모/형제/자녀 등 가족",,,,,,"역사-유적 감상 (유적지/ 박물관 등)","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","300만원 미만"
"259310","20250331","강원도","고성군","20250308","1박 2일","4명","배우자","친구",,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 독립(막내 결혼)","사무/기술직","700만원 이상"
"299520","20250331","경상남도","함안군","20250326","2박 3일","3명","친구",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 성인(막내 대학)","기타/무직","700만원 이상"
"321921","20250331","제주도","제주시(시내동)","20250106","4박 5일","혼자서","혼자서",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","30대","미혼","미혼","대학/대학원생","모름"
"333010","20250331","충청남도","공주시","20250129","1박 2일","2명","배우자",,,,,,"친지/친구/친척 만나기","F","60대 이상","기혼","자녀 독립(막내 결혼)","판매/서비스직","500~700만원 미만"
"350848","20250331","대구시","모름","20250321","2박 3일","4명","배우자","부모/형제/자녀 등 가족",,,,,"휴식","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","300~500만원 미만"
"372193","20250331","경상남도","통영시","20250120","2박 3일","혼자서","혼자서",,,,,,"친지/친구/친척 만나기","M","30대","미혼","미혼","기능/숙련/일반작업직","300~500만원 미만"
"380833","20250331","강원도","강릉시","20241220","2박 3일","2명","배우자",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 성인(막내 대학)","사무/기술직","모름"
"382511","20250331","대전시","모름","20250221","2박 3일","3명","배우자","부모/형제/자녀 등 가족",,,,,"문화-예술 즐기기 (미술관/ 공연 등)","M","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","모름"
"394153","20250331","충청남도","천안시","20250302","1박 2일","2명","친구",,,,,,"휴식","M","20대","미혼","미혼","사무/기술직","700만원 이상"
"402770","20250331","경기도","화성시","20250322","1박 2일","4명","배우자","부모/형제/자녀 등 가족",,,,,"휴식","M","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","500~700만원 미만"
"414729","20250331","경상북도","칠곡군","20250301","2박 3일","혼자서","혼자서",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 성인(막내 대학)","판매/서비스직","700만원 이상"
"41927","20250331","제주도","제주시(시내동)","20250301","1박 2일","혼자서","혼자서",,,,,,"식도락 (지역 특색/제철 음식)","M","20대","미혼","미혼","사무/기술직","300~500만원 미만"
"422812","20250331","강원도","속초시/양양군","20250328","1박 2일","4명","연인","부모/형제/자녀 등 가족",,,,,"자연 풍경 감상 (산/ 바다 등)","F","20대","미혼","미혼","대학/대학원생","모름"
"424404","20250331","울산시","모름","20250301","1박 2일","혼자서","혼자서",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","20대","미혼","미혼","대학/대학원생","500~700만원 미만"
"425066","20250331","서울시","모름","20250328","2박 3일","4명","부모/형제/자녀 등 가족",,,,,,"도시 경관 감상 (건축물/ 거리 등)","M","20대","미혼","미혼","기타/무직","모름"
"429389","20250331","강원도","속초시","20250118","6박 7일 이상","2명","연인",,,,,,"식도락 (지역 특색/제철 음식)","M","20대","미혼","미혼","사무/기술직","300~500만원 미만"
"433295","20250331","경상남도","창원시","20250328","2박 3일","2명","연인",,,,,,"축제-행사 참여","F","20대","미혼","미혼","사무/기술직","모름"
"433988","20250331","제주도","서귀포시(시내동)/성산읍/안덕면/애월읍/제주시(시내동)/조천읍/표선면/한림읍","20250113","4박 5일","2명","연인",,,,,,"휴식","M","20대","미혼","미혼","사무/기술직","300만원 미만"
"436542","20250331","대전시","모름","20250124","2박 3일","2명","친구",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 독립(막내 결혼)","사무/기술직","500~700만원 미만"
"442951","20250331","대전시","모름","20250307","2박 3일","2명","배우자",,,,,,"휴식","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","700만원 이상"
"447186","20250331","강원도","속초시","20250225","1박 2일","4명","친구",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 독립(막내 결혼)","전업주부","500~700만원 미만"
"451150","20250331","강원도","횡성군","20250127","3박 4일","2명","연인",,,,,,"식도락 (지역 특색/제철 음식)","M","30대","미혼","미혼","경영/관리/전문직","모름"
"452176","20250331","전라남도","해남군","20250108","3박 4일","3명","부모/형제/자녀 등 가족",,,,,,"휴식","F","60대 이상","기타","자녀 성인(막내 대학)","사무/기술직","700만원 이상"
"452982","20250331","경기도","수원시","20250302","2박 3일","혼자서","혼자서",,,,,,"놀이/테마공원-온천 등 즐기기","M","20대","미혼","미혼","대학/대학원생","모름"
