"RESPOND_ID","EXAMIN_BEGIN_DE","TOUR_CTPRVN_NM","TOUR_SIGNGU_NM","TOUR_BEGIN_DE","TOUR_PD_VALUE","TOUR_COM_NMPR_NM","COM_ONE_TY","COM_TWO_TY","COM_THREE_TY","COM_FOUR_TY","COM_FIVE_TY","COM_SIX_TY","TOUR_PURPS_NM","SEXDSTN_FLAG_CD","AGRDE_FLAG_NM","MRRG_AT_NM","CHLDRN_TY_NM","OCCP_NM","HSHLD_INCOME_DGREE_NM"
217788,20250303,"강원도","춘천시",20241215,"1박 2일","2명","친구",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","20대","미혼","미혼","기타/무직","모름"
240062,20250303,"경상남도","김해시/사천시",20241204,"4박 5일","2명","연인",NA,NA,NA,NA,NA,"놀이/테마공원-온천 등 즐기기","M","20대","미혼","미혼","판매/서비스직","300~500만원 미만"
321152,20250303,"전라북도","부안군",20250226,"1박 2일","5명 이상","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 독립(막내 결혼)","전업주부","300~500만원 미만"
335037,20250303,"부산시","모름",20241213,"2박 3일","5명 이상","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","20대","미혼","미혼","사무/기술직","모름"
347289,20250303,"제주도","구좌읍/남원읍/대정읍/서귀포시(시내동)/성산읍/안덕면/애월읍/우도면/제주시(시내동)/추자면/표선면",20241220,"6박 7일 이상","3명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 성인(막내 대학)","판매/서비스직","300만원 미만"
366813,20250303,"강원도","강릉시/동해시",20250201,"2박 3일","2명","연인",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","20대","미혼","미혼","기능/숙련/일반작업직","700만원 이상"
412347,20250303,"부산시","모름",20250210,"1박 2일","혼자서","혼자서",NA,NA,NA,NA,NA,"휴식","M","20대","미혼","미혼","대학/대학원생","모름"
419412,20250303,"서울시","모름",20250217,"1박 2일","2명","연인",NA,NA,NA,NA,NA,"문화-예술 즐기기 (미술관/ 공연 등)","M","20대","미혼","미혼","기타/무직","300~500만원 미만"
424258,20250303,"경기도","화성시",20241219,"2박 3일","2명","연인",NA,NA,NA,NA,NA,"휴식","M","20대","미혼","미혼","판매/서비스직","모름"
426975,20250303,"경기도","화성시",20250126,"1박 2일","4명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","M","20대","미혼","미혼","대학/대학원생","700만원 이상"
427223,20250303,"대구시","모름",20250203,"4박 5일","혼자서","혼자서",NA,NA,NA,NA,NA,"역사-유적 감상 (유적지/ 박물관 등)","M","20대","미혼","미혼","자영업","300만원 미만"
429282,20250303,"강원도","홍천군",20241215,"1박 2일","4명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"놀이/테마공원-온천 등 즐기기","M","20대","미혼","미혼","대학/대학원생","500~700만원 미만"
432154,20250303,"강원도","강릉시",20250201,"2박 3일","2명","연인",NA,NA,NA,NA,NA,"휴식","M","20대","미혼","미혼","판매/서비스직","모름"
445135,20250303,"경상남도","사천시",20250208,"모름","4명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","20대","미혼","미혼","기타/무직","모름"
455801,20250303,"제주도","구체적인 지역 모름",20250203,"4박 5일","혼자서","혼자서",NA,NA,NA,NA,NA,"휴식","M","20대","미혼","미혼","사무/기술직","모름"
456673,20250303,"경기도","포천시",20250125,"1박 2일","2명","연인",NA,NA,NA,NA,NA,"문화-예술 즐기기 (미술관/ 공연 등)","F","20대","미혼","미혼","사무/기술직","300만원 미만"
456994,20250303,"강원도","속초시",20250207,"2박 3일","모름","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","M","20대","미혼","미혼","기타/무직","300~500만원 미만"
458250,20250303,"강원도","삼척시",20250125,"1박 2일","4명","부모/형제/자녀 등 가족","친구",NA,NA,NA,NA,"휴식","F","60대 이상","기타","자녀 성인(막내 대학)","판매/서비스직","300~500만원 미만"
458278,20250303,"부산시","모름",20250201,"3박 4일","4명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"축제-행사 참여","M","20대","미혼","미혼","기타/무직","300만원 미만"
458289,20250303,"경기도","고양시",20250207,"2박 3일","3명","친구",NA,NA,NA,NA,NA,"축제-행사 참여","M","20대","미혼","미혼","사무/기술직","700만원 이상"
458314,20250303,"충청남도","아산시",20250220,"1박 2일","모름","친구",NA,NA,NA,NA,NA,"휴식","M","20대","미혼","미혼","기타/무직","모름"
464714,20250303,"충청북도","청주시",20250221,"2박 3일","2명","연인",NA,NA,NA,NA,NA,"휴식","F","20대","미혼","미혼","판매/서비스직","모름"
465701,20250303,"강원도","강릉시",20250224,"4박 5일","3명","배우자","연인",NA,NA,NA,NA,"취미-운동 활동 (등산/ 낚시/ 골프 등)","M","20대","미혼","미혼","판매/서비스직","500~700만원 미만"
466737,20250303,"강원도","강릉시",20241228,"1박 2일","5명 이상","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","20대","미혼","미혼","대학/대학원생","700만원 이상"
467042,20250303,"서울시","모름",20250203,"4박 5일","2명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"놀이/테마공원-온천 등 즐기기","M","20대","미혼","미혼","기타/무직","모름"
475037,20250303,"전라북도","익산시",20250222,"1박 2일","4명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"친지/친구/친척 만나기","M","20대","기혼","자녀 유아&성장(막내 입학전~초등생)","기능/숙련/일반작업직","모름"
53322813,20250303,"경기도","시흥시",20250125,"2박 3일","2명","연인",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","30대","미혼","미혼","사무/기술직","모름"
53322910,20250303,"전라북도","진안군",20250123,"6박 7일 이상","2명","배우자",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","M","60대 이상","기혼","자녀 독립(막내 결혼)","기능/숙련/일반작업직","700만원 이상"
53323185,20250303,"강원도","동해시/속초시",20241218,"2박 3일","2명","연인",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","F","20대","미혼","미혼","대학/대학원생","모름"
53323407,20250303,"제주도","서귀포시(시내동)",20250127,"5박 6일","4명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","M","60대 이상","기혼","자녀 성인(막내 대학)","사무/기술직","모름"
53323462,20250303,"서울시","모름",20250227,"1박 2일","2명","연인",NA,NA,NA,NA,NA,"놀이/테마공원-온천 등 즐기기","M","30대","미혼","미혼","기능/숙련/일반작업직","300만원 미만"
53323605,20250303,"경기도","고양시",20250302,"1박 2일","4명","친구",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","30대","미혼","미혼","사무/기술직","300~500만원 미만"
53323787,20250303,"서울시","모름",20250205,"1박 2일","2명","연인",NA,NA,NA,NA,NA,"휴식","M","40대","기타","신혼기(자녀 없음)","자영업","모름"
53323829,20250303,"제주도","서귀포시(시내동)/성산읍/제주시(시내동)",20250206,"2박 3일","5명 이상","친구",NA,NA,NA,NA,NA,"취미-운동 활동 (등산/ 낚시/ 골프 등)","M","60대 이상","기혼","자녀 독립(막내 결혼)","경영/관리/전문직","700만원 이상"
53324317,20250303,"강원도","속초시",20250222,"2박 3일","2명","배우자",NA,NA,NA,NA,NA,"취미-운동 활동 (등산/ 낚시/ 골프 등)","M","50대","기혼","자녀 성장(막내 중고생)","경영/관리/전문직","700만원 이상"
53324432,20250303,"강원도","강릉시",20241211,"모름","혼자서","혼자서",NA,NA,NA,NA,NA,"놀이/테마공원-온천 등 즐기기","M","20대","미혼","미혼","대학/대학원생","모름"
53324460,20250303,"강원도","양양군/정선군/평창군",20250206,"2박 3일","4명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","전업주부","모름"
53324642,20250303,"강원도","강릉시",20241219,"1박 2일","2명","배우자",NA,NA,NA,NA,NA,"취미-운동 활동 (등산/ 낚시/ 골프 등)","M","60대 이상","기혼","자녀 독립(막내 결혼)","사무/기술직","300~500만원 미만"
53324872,20250303,"경상북도","문경시/안동시/영천시",20241223,"2박 3일","4명","친구",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","60대 이상","기혼","자녀 독립(막내 결혼)","판매/서비스직","모름"
53324902,20250303,"강원도","강릉시",20250124,"1박 2일","3명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"휴식","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","700만원 이상"
53324919,20250303,"전라남도","함평군",20241230,"1박 2일","2명","연인",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","M","40대","기타","자녀 성장(막내 중고생)","기능/숙련/일반작업직","모름"
53325079,20250303,"경기도","고양시/남양주시/수원시/양주시/의정부시/파주시",20241220,"2박 3일","4명","친구",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","60대 이상","기혼","자녀 성인(막내 대학)","자영업","700만원 이상"
53325150,20250303,"충청남도","공주시",20250114,"1박 2일","3명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"역사-유적 감상 (유적지/ 박물관 등)","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","700만원 이상"
53325421,20250303,"서울시","모름",20250203,"2박 3일","혼자서","혼자서",NA,NA,NA,NA,NA,"역사-유적 감상 (유적지/ 박물관 등)","M","30대","미혼","미혼","대학/대학원생","모름"
53325431,20250303,"강원도","속초시",20250206,"3박 4일","3명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"휴식","F","40대","기혼","자녀 성장(막내 중고생)","사무/기술직","모름"
53325516,20250303,"강원도","강릉시/속초시",20241230,"4박 5일","2명","배우자",NA,NA,NA,NA,NA,"취미-운동 활동 (등산/ 낚시/ 골프 등)","M","60대 이상","기혼","자녀 독립(막내 결혼)","기타/무직","모름"
53325686,20250303,"충청남도","예산군",20250210,"4박 5일","혼자서","혼자서",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","M","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","500~700만원 미만"
53325740,20250303,"경상남도","하동군/함양군",20250201,"2박 3일","5명 이상","친구",NA,NA,NA,NA,NA,"역사-유적 감상 (유적지/ 박물관 등)","M","60대 이상","기혼","자녀 성인(막내 대학)","기능/숙련/일반작업직","700만원 이상"
53326150,20250303,"서울시","모름",20250202,"1박 2일","혼자서","혼자서",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","30대","미혼","미혼","기타/무직","700만원 이상"
53326184,20250303,"서울시","모름",20241219,"2박 3일","4명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"역사-유적 감상 (유적지/ 박물관 등)","M","50대","기혼","자녀 성인(막내 대학)","자영업","700만원 이상"
53326313,20250303,"강원도","원주시/평창군",20250224,"1박 2일","2명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","M","30대","미혼","미혼","사무/기술직","모름"
53326521,20250303,"부산시","모름",20241224,"2박 3일","3명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","60대 이상","미혼","미혼","기타/무직","300만원 미만"
53326576,20250303,"강원도","속초시",20250121,"1박 2일","3명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"휴식","F","50대","기혼","자녀 성인(막내 대학)","전업주부","700만원 이상"
53326667,20250303,"서울시","모름",20250211,"2박 3일","2명","배우자",NA,NA,NA,NA,NA,"문화-예술 즐기기 (미술관/ 공연 등)","M","60대 이상","기혼","자녀 성인(막내 대학)","사무/기술직","300~500만원 미만"
53326679,20250303,"제주도","구좌읍/애월읍/한경면/한림읍",20250210,"3박 4일","3명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"놀이/테마공원-온천 등 즐기기","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","모름"
53326742,20250303,"전라남도","여수시",20241219,"3박 4일","혼자서","혼자서",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","M","30대","미혼","미혼","기능/숙련/일반작업직","300~500만원 미만"
53326872,20250303,"경기도","수원시",20250222,"2박 3일","3명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"역사-유적 감상 (유적지/ 박물관 등)","M","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","300~500만원 미만"
53326912,20250303,"대구시","모름",20250118,"1박 2일","3명","친구",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","30대","미혼","미혼","사무/기술직","모름"
53327052,20250303,"서울시","모름",20250222,"1박 2일","2명","배우자",NA,NA,NA,NA,NA,"쇼핑","M","30대","기혼","신혼기(자녀 없음)","사무/기술직","700만원 이상"
53327927,20250303,"강원도","강릉시/속초시/양양군/원주시",20250118,"1박 2일","3명","친구",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","50대","기혼","자녀 성인(막내 대학)","기타/무직","300~500만원 미만"
53327942,20250303,"서울시","모름",20250203,"1박 2일","5명 이상","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"놀이/테마공원-온천 등 즐기기","F","20대","미혼","미혼","기타/무직","모름"
53327950,20250303,"경기도","용인시",20241213,"2박 3일","5명 이상","친구",NA,NA,NA,NA,NA,"휴식","F","60대 이상","미혼","미혼","판매/서비스직","300만원 미만"
53328227,20250303,"경상북도","포항시",20241231,"1박 2일","4명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"친지/친구/친척 만나기","F","40대","기혼","자녀 성장(막내 중고생)","사무/기술직","500~700만원 미만"
53328412,20250303,"광주시","모름",20250215,"1박 2일","2명","배우자",NA,NA,NA,NA,NA,"휴식","M","60대 이상","기혼","자녀 독립(막내 결혼)","기타/무직","300~500만원 미만"
53328768,20250303,"부산시","모름",20250215,"1박 2일","4명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"쇼핑","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","700만원 이상"
53328960,20250303,"서울시","모름",20250118,"2박 3일","혼자서","혼자서",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","F","20대","미혼","미혼","판매/서비스직","모름"
53329629,20250303,"대전시","모름",20241219,"1박 2일","2명","친구",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","40대","미혼","미혼","대학/대학원생","모름"
53329772,20250303,"대전시","모름",20250222,"1박 2일","4명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"문화-예술 즐기기 (미술관/ 공연 등)","M","40대","기혼","자녀 성장(막내 중고생)","경영/관리/전문직","700만원 이상"
53330298,20250303,"서울시","모름",20241231,"1박 2일","2명","친구",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","F","20대","미혼","미혼","기타/무직","모름"
53330309,20250303,"광주시","모름",20250222,"1박 2일","3명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","M","20대","미혼","미혼","기타/무직","700만원 이상"
53330483,20250303,"경기도","포천시",20241214,"1박 2일","3명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","모름"
53330601,20250303,"대전시","모름",20241210,"5박 6일","혼자서","혼자서",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","M","30대","미혼","미혼","판매/서비스직","모름"
